,Ammonia,Chlorophyll a,pH
84,0.831485587583149,0.0035,8.35
85,0.831485587583149,0.00342,8.33
86,0.277161862527716,0.00416,8.29
87,0.554323725055432,0.00875,8.36
88,1.38580931263858,0.00415,8.22
89,0.554323725055432,0.00319,8.32
90,0.277161862527716,0.0223,8.18
91,0.554323725055432,0.00416,8.37
92,0.277161862527716,0.00296,8.31
93,0.554323725055432,0.04203,8.33
94,0.554323725055432,0.00212,8.3
95,0.554323725055432,0.01687,8.2
96,0.831485587583149,0.00058,8.35
97,0.831485587583149,0.00147,8.26
98,0.277161862527716,0.00017,8.49
99,0.277161862527716,0.00142,8.25
100,0.554323725055432,0.00056,8.42
101,0.277161862527716,0.00313,8.15
102,0.277161862527716,0.00499,8.14
103,0.277161862527716,0.00462,8.14
104,0.554323725055432,0.00088,8.43
105,0.277161862527716,0.00156,8.17
106,0.277161862527716,0.00036,8.38
107,0.554323725055432,0.0016,8.38
108,1.10864745011086,0.00407,8.25
109,1.94013303769401,0.02325,8.27
110,1.94013303769401,0.02821,8.25
111,3.88026607538803,0.01645,8.29
112,0.831485587583149,0.0024,8.46
113,0.554323725055432,0.00268,8.42
114,1.10864745011086,0.00252,8.46
115,0.554323725055432,0.0029,8.48
116,0.277161862527716,0.00727,8.56
117,1.6629711751663,0.00159,8.23
118,1.94013303769401,0.00149,8.24
119,1.6629711751663,0.00171,8.26
120,1.38580931263858,0.00138,8.27
121,1.10864745011086,0.00419,8.28
122,1.38580931263858,0.00281,8.28
123,1.38580931263858,0.00209,8.26
124,1.38580931263858,0.00148,8.22
125,0.831485587583149,0.00348,8.19
126,1.6629711751663,0.01237,8.18
127,1.10864745011086,0.02096,8.17
128,11.9179600886918,0.011,8.32
129,2.21729490022173,0.00368,8.33
130,1.10864745011086,0.02133,8.51
131,0.831485587583149,0.0147,8.4
132,0.831485587583149,0.01558,8.43
133,0.831485587583149,0.00355,8.45
134,0.554323725055432,0.00849,8.44
135,0.277161862527716,0.0052,8.49
136,1.94013303769401,0.00179,8.3
137,3.32594235033259,0.04072,8.26
138,1.6629711751663,0.0082,8.31
139,0.277161862527716,0.00478,8.34
140,-0.277161862527716,0.00357,8.37
141,-0.277161862527716,0.00287,8.38
142,-0.277161862527716,0.00234,8.4
143,0.554323725055432,0.00983,8.32
144,0.554323725055432,0.01506,8.42
145,0.554323725055432,0.00562,8.46
146,0.554323725055432,0.00507,8.32
147,0.831485587583149,0.00548,8.38
148,0.554323725055432,0.00931,8.41
149,0.554323725055432,0.00635,8.41
150,0.554323725055432,0.00818,8.45
151,0.554323725055432,0.01459,8.44
152,0.831485587583149,0.0046,8.34
153,0.277161862527716,0.00457,8.36
154,0.554323725055432,0.00666,8.33
155,0.554323725055432,0.00758,8.43
156,1.38580931263858,0.00938,8.28
157,1.38580931263858,0.01044,8.35
158,0.831485587583149,0.00394,8.32
159,0.831485587583149,0.00761,8.28
160,0.554323725055432,0.0075,8.37
161,0.277161862527716,0.00537,8.46
162,0.554323725055432,0.008,8.41
163,0.554323725055432,0.01096,8.32
164,0.554323725055432,0.00883,8.43
165,0.554323725055432,0.0132,8.4
166,0.554323725055432,0.01433,8.36
167,0.554323725055432,0.00893,8.42
168,0.554323725055432,0.02006,8.39
169,1.10864745011086,0.00538,8.32
170,1.10864745011086,0.00444,8.34
171,0.831485587583149,0.01067,8.34
172,1.10864745011086,0.00911,8.34
173,1.10864745011086,0.00395,8.29
174,1.10864745011086,0.00494,8.29
175,1.10864745011086,0.00482,8.28
176,1.10864745011086,0.0032,8.24
177,1.10864745011086,0.00514,8.22
178,1.38580931263858,0.00253,8.22
179,1.10864745011086,0.00282,8.19
180,0.831485587583149,0.00195,8.23
181,0.831485587583149,0.0035,8.23
182,0.831485587583149,0.00194,8.4
183,1.10864745011086,0.00214,8.4
184,1.10864745011086,0.00207,8.38
185,1.10864745011086,0.00351,8.39
186,0.831485587583149,0.00238,8.38
187,1.10864745011086,0.00298,8.46
188,0.831485587583149,0.00205,8.31
189,0.831485587583149,0.00221,8.3
190,1.10864745011086,0.00343,8.42
191,0.831485587583149,0.0026,8.47
192,0.831485587583149,0.00482,8.27
193,0.554323725055432,0.00866,8.15
194,0.831485587583149,0.00311,8.38
195,2.21729490022173,0.00493,8.39
196,3.32594235033259,0.00526,8.4
197,1.94013303769401,0.00432,8.3
198,0.831485587583149,0.00205,8.36
199,0.831485587583149,0.01331,8.29
200,1.38580931263858,0.00967,8.22
201,0.831485587583149,0.00546,8.24
202,0.554323725055432,0.00412,8.36
203,0.554323725055432,0.00265,8.37
204,0.831485587583149,0.00798,8.41
205,1.38580931263858,0.00205,8.36
206,0.831485587583149,0.00287,8.32
207,0.831485587583149,0.00202,8.28
208,0.554323725055432,0.00212,8.26
209,1.10864745011086,0.00176,8.26
210,0.554323725055432,0.00236,8.19
211,3.88026607538803,0.01588,8.26
212,1.33037694013304,0.01872,NA
213,2.0509977827051,0.02274,NA
214,0.942350332594235,0.00383,NA
215,0.831485587583149,0.01247,8.31
216,0.831485587583149,0.01403,NA
217,0.609756097560976,0.00678,NA
218,0.498891352549889,0.00859,NA
219,0.609756097560976,0.00567,8.14
220,0.609756097560976,0.00411,NA
221,1.49667405764967,0.00255,8.18
222,1.49667405764967,0.00352,8.19
223,0.498891352549889,0.00627,NA
224,0.498891352549889,0.00678,NA
225,0.498891352549889,0.00809,8.32
226,0.498891352549889,0.00902,8.27
227,NA,0.00414,8.12
228,1.49667405764967,0.07814,8.14
229,1.60753880266075,0.02265,8.22
230,1.49667405764967,0.00402,8.2
231,0.776053215077605,0.00323,8.25
232,0.609756097560976,0.00349,8.3
233,0.609756097560976,0.00192,NA
234,0.388026607538803,0.00096,8.33
235,0.388026607538803,0.00091,8.3
236,NA,NA,NA
237,1.99556541019956,0.00445,8.22
238,0.221729490022173,0.00126,8.24
239,0.221729490022173,0.00176,8.2
240,NA,0.00196,NA
241,0.388026607538803,0.00347,8.28
242,NA,NA,NA
243,0.776053215077605,0.02006,8.29
244,0.609756097560976,0.02125,8.33
245,0.609756097560976,0.03045,8.25
246,NA,0.00387,8.31
247,NA,0.00454,8.34
248,NA,0.0031,8.35
249,3.82483370288248,0.01597,NA
250,6.81818181818182,0.00579,NA
251,0.886917960088692,0.01461,8.29
252,0.609756097560976,0.00539,8.36
253,0.388026607538803,0.00217,8.39
254,0.388026607538803,0.00614,8.42
255,0.609756097560976,0.00343,8.34
256,0.277161862527716,0.00347,8.33
257,0.388026607538803,0.00451,8.35
258,0.277161862527716,0.00331,8.49
259,0.498891352549889,0.0031,8.3
260,0.221729490022173,0.00245,8.32
261,0.221729490022173,0.00353,8.24
262,0.221729490022173,0.00213,8.19
263,0.221729490022173,0.00314,8.26
264,0.110864745011086,0.00466,8.32
265,0.388026607538803,0.00631,8.26
266,0.498891352549889,0.00226,8.23
267,0.498891352549889,0.00245,8.24
268,0.221729490022173,0.00688,8.09
269,0.388026607538803,0.00359,8.18
270,0.388026607538803,0.00805,8.21
271,0.720620842572062,0.00919,8.26
272,2.38359201773836,0.00544,NA
273,NA,0.00492,8.37
274,NA,0.01982,8.35
275,NA,0.00384,NA
276,0.609756097560976,0.01308,8.29
277,0.388026607538803,0.00516,NA
278,NA,0.00483,NA
279,2.66075388026608,0.00935,8.23
280,4.37915742793792,0.01013,8.25
281,1.60753880266075,0.01481,8.56
282,5.09977827050998,0.02199,8.36
283,1.71840354767184,0.01572,8.29
284,2.66075388026608,0.00279,8.4
285,2.93791574279379,0.00213,8.41
286,0.388026607538803,0.00239,8.45
287,0.277161862527716,0.00221,8.38
288,0.997782705099778,0.00416,8.4
289,1.27494456762749,0.00149,8.35
290,0.776053215077605,0.0031,8.38
291,3.65853658536585,0.01647,8.41
292,0.720620842572062,0.00696,8.07
293,0.831485587583149,0.00997,8.08
294,0.942350332594235,0.00527,8.31
295,2.0509977827051,0.00292,8.28
296,2.16186252771619,0.00223,8.08
297,2.66075388026608,0.00278,8.3
298,0.776053215077605,0.01529,8.28
299,0.498891352549889,0.00343,8.45
300,0.110864745011086,0.00409,8.44
301,0.776053215077605,0.01298,8.43
302,0.277161862527716,0.00364,8.34
303,0.388026607538803,0.00496,8.37
304,0.498891352549889,0.01409,8.36
305,2.54988913525499,0.01298,8.29
306,1.77383592017738,0.00728,8.3
307,0.997782705099778,0.01168,8.18
308,1.49667405764967,0.00398,8.36
309,1.77383592017738,0.00479,8.33
310,0.776053215077605,0.00265,8.28
311,0.498891352549889,0.00166,8.41
312,0.997782705099778,0.00303,8.31
313,0.776053215077605,0.01045,NA
314,0.221729490022173,0.00506,8.35
315,NA,0.00353,8.3
316,0.498891352549889,0.00771,8.3
317,0.776053215077605,0.00458,8.38
318,NA,0.00421,8.5
319,0.221729490022173,0.00412,8.44
320,0.110864745011086,0.00789,8.26
321,0.221729490022173,NA,8.22
322,NA,NA,NA
323,0.776053215077605,0.00619,8.4
324,0.388026607538803,0.00287,NA
325,0.886917960088692,0.00271,8.33
326,0.776053215077605,0.00304,8.31
327,0.776053215077605,0.01351,8.34
328,0.277161862527716,0.01251,NA
329,0.997782705099778,0.00766,8.44
330,0.776053215077605,0.0024,8.23
331,0.498891352549889,0.00877,8.45
332,0.277161862527716,0.00745,8.38
333,0.498891352549889,0.0033,NA
334,0.277161862527716,0.03101,8.47
335,NA,0.00461,NA
336,0.776053215077605,0.01412,8.51
337,0.388026607538803,0.05659,NA
338,0.277161862527716,0.00886,8.37
339,1.49667405764967,0.0195,8.44
340,0.110864745011086,0.00576,8.32
341,0.277161862527716,0.00545,NA
342,0.110864745011086,0.0039,8.42
343,NA,0.00373,8.47
344,0.277161862527716,0.00425,8.39
345,0.886917960088692,0.00575,8.44
346,0.110864745011086,0.00386,8.44
347,0.110864745011086,NA,8.49
348,0.388026607538803,0.00627,NA
349,0.110864745011086,0.00698,8.38
350,0.110864745011086,0.00714,NA
351,0.277161862527716,0.04575,8.47
352,NA,0.02423,8.47
353,0.498891352549889,0.07738,8.3
354,0.498891352549889,0.01284,8.26
355,0.221729490022173,0.01422,NA
356,0.498891352549889,0.0064,8.28
357,0.498891352549889,0.01116,8.27
358,0.997782705099778,0.01074,8.26
359,0.498891352549889,0.00415,8.32
360,0.776053215077605,0.0049,8.41
361,0.498891352549889,0.00307,8.43
362,0.776053215077605,0.00379,8.4
363,0.886917960088692,0.00645,8.42
364,0.776053215077605,0.00941,8.44
365,0.776053215077605,0.0031,8.33
366,0.221729490022173,0.00339,8.33
367,0.609756097560976,0.00302,8.38
368,0.221729490022173,0.01265,8.39
369,0.498891352549889,0.00458,8.38
370,0.221729490022173,0.00446,8.3
371,0.221729490022173,0.00271,8.27
372,0.498891352549889,0.00435,8.2
373,0.498891352549889,0.00335,8.28
374,0.997782705099778,0.00369,8.24
375,0.388026607538803,0.00227,8.09
376,0.997782705099778,0.00978,8.18
377,1.49667405764967,0.2829,8.1
