CharacteristicName,ResultValue,ResultSampleFraction
Nitrate,270,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,740,Dissolved
pH,8.35,
Potassium,0,Dissolved
Silica_reactive,2.11,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),41,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,670,Dissolved
Total Particulate Carbon,2320,Suspended
Total Particulate Nitrogen,285,Non-Filterable (Particle)
Total Particulate Phosphorus,80,Non-Filterable (Particle)
Total Phosphorus_mixed forms,44,Dissolved
Total suspended solids,68,Non-Filterable (Particle)
Total suspended solids,58,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,19.3,Dissolved
Chloride,5.33,"Filtered, field"
Chlorophyll a,3.18,Total
Chlorophyll a,2.43,
Conductivity,194,Total
Inorganic carbon,1533,Dissolved
Iron,0,Dissolved
Magnesium,7.5,Dissolved
Manganese,0,Dissolved
Nitrate,93,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,808,Dissolved
pH,8.29,
Potassium,1.94,Dissolved
Silica_reactive,1.57,Total
Sodium,6.55,"Filtered, field"
Soluble Reactive Phosphorus (SRP),38,"Filtered, field"
Sulfate,16.43,Dissolved
Total Nitrogen_mixed forms,465,Dissolved
Total Particulate Carbon,1040,Suspended
Total Particulate Nitrogen,123,Non-Filterable (Particle)
Total Particulate Phosphorus,25,Non-Filterable (Particle)
Total Phosphorus_mixed forms,41,Dissolved
Total suspended solids,22,Non-Filterable (Particle)
Total suspended solids,15,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,19.1,Dissolved
Chloride,5.4,"Filtered, field"
Chlorophyll a,2.97,Total
Chlorophyll a,2.16,
Conductivity,199,Total
Inorganic carbon,1578,Dissolved
Iron,0,Dissolved
Magnesium,7.7,Dissolved
Manganese,0,Dissolved
Nitrate,79,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,812,Dissolved
pH,8.28,
Potassium,1.99,Dissolved
Silica_reactive,1.76,Total
Sodium,6.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),40,"Filtered, field"
Sulfate,16.75,Dissolved
Total Nitrogen_mixed forms,460,Dissolved
Total Particulate Carbon,1130,Suspended
Total Particulate Nitrogen,136,Non-Filterable (Particle)
Total Particulate Phosphorus,29,Non-Filterable (Particle)
Total Phosphorus_mixed forms,42,Dissolved
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,24,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,18.7,Dissolved
Chloride,4.19,"Filtered, field"
Chlorophyll a,3.57,Total
Chlorophyll a,2.99,
Conductivity,195,Total
Inorganic carbon,1538,Dissolved
Iron,0,Dissolved
Magnesium,7.6,Dissolved
Manganese,0,Dissolved
Nitrate,84,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,804,Dissolved
pH,8.35,
Potassium,1.97,Dissolved
Silica_reactive,1.56,Total
Sodium,6.65,"Filtered, field"
Soluble Reactive Phosphorus (SRP),36,"Filtered, field"
Sulfate,16.53,Dissolved
Total Nitrogen_mixed forms,455,Dissolved
Total Particulate Carbon,1030,Suspended
Total Particulate Nitrogen,159,Non-Filterable (Particle)
Total Particulate Phosphorus,30,Non-Filterable (Particle)
Total Phosphorus_mixed forms,39,Dissolved
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,25,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,8.86,Total
Chlorophyll a,0,
Conductivity,258,Total
Inorganic carbon,1680,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,86,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,730,Dissolved
pH,8.29,
Potassium,0,Dissolved
Silica_reactive,2.06,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),33,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,455,Dissolved
Total Particulate Carbon,890,Suspended
Total Particulate Nitrogen,180,Non-Filterable (Particle)
Total Particulate Phosphorus,27,Non-Filterable (Particle)
Total Phosphorus_mixed forms,40,Dissolved
Total suspended solids,8,Non-Filterable (Particle)
Total suspended solids,12,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,14.36,Total
Chlorophyll a,0,
Conductivity,272,Total
Inorganic carbon,1770,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,87,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,720,Dissolved
pH,8.31,
Potassium,0,Dissolved
Silica_reactive,1.65,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),29,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,485,Dissolved
Total Particulate Carbon,1380,Suspended
Total Particulate Nitrogen,264,Non-Filterable (Particle)
Total Particulate Phosphorus,43,Non-Filterable (Particle)
Total Phosphorus_mixed forms,34,Dissolved
Total suspended solids,20,Non-Filterable (Particle)
Total suspended solids,20,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,20.79,Total
Chlorophyll a,0,
Conductivity,285,Total
Inorganic carbon,1850,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,140,"Filtered, field"
Nitrite,5,"Filtered, field"
Organic carbon,760,Dissolved
pH,8.26,
Potassium,0,Dissolved
Silica_reactive,2.13,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),32,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,540,Dissolved
Total Particulate Carbon,1480,Suspended
Total Particulate Nitrogen,251,Non-Filterable (Particle)
Total Particulate Phosphorus,45,Non-Filterable (Particle)
Total Phosphorus_mixed forms,36,Dissolved
Total suspended solids,23,Non-Filterable (Particle)
Total suspended solids,23,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,39.3,Dissolved
Chloride,10.71,"Filtered, field"
Chlorophyll a,2.45,Total
Chlorophyll a,1.54,
Conductivity,388,Total
Inorganic carbon,3030,Dissolved
Iron,0,Dissolved
Magnesium,16.4,Dissolved
Manganese,0,Dissolved
Nitrate,450,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,930,Dissolved
pH,8.45,
Potassium,4.55,Dissolved
Silica_reactive,5.32,Total
Sodium,13.5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),114,"Filtered, field"
Sulfate,43.08,Dissolved
Total Nitrogen_mixed forms,980,Dissolved
Total Particulate Carbon,770,Suspended
Total Particulate Nitrogen,145,Non-Filterable (Particle)
Total Particulate Phosphorus,26,Non-Filterable (Particle)
Total Phosphorus_mixed forms,102,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,22,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,22.1,Dissolved
Chloride,6.57,"Filtered, field"
Chlorophyll a,3.59,Total
Chlorophyll a,2.85,
Conductivity,231,Total
Inorganic carbon,1755,Dissolved
Iron,0,Dissolved
Magnesium,9.2,Dissolved
Manganese,0,Dissolved
Nitrate,105,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,800,Dissolved
pH,8.32,
Potassium,2.27,Dissolved
Silica_reactive,2.01,Total
Sodium,8.05,"Filtered, field"
Soluble Reactive Phosphorus (SRP),40,"Filtered, field"
Sulfate,21.81,Dissolved
Total Nitrogen_mixed forms,535,Dissolved
Total Particulate Carbon,640,Suspended
Total Particulate Nitrogen,,Non-Filterable (Particle)
Total Particulate Phosphorus,19,Non-Filterable (Particle)
Total Phosphorus_mixed forms,48,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,16,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,40.2,Dissolved
Chloride,12.7,"Filtered, field"
Chlorophyll a,2.23,Total
Chlorophyll a,1.59,
Conductivity,409,Total
Inorganic carbon,3060,Dissolved
Iron,0,Dissolved
Magnesium,17.2,Dissolved
Manganese,0,Dissolved
Nitrate,480,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,958,Dissolved
pH,8.5,
Potassium,4.85,Dissolved
Silica_reactive,5.9,Total
Sodium,14.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),123,"Filtered, field"
Sulfate,44.1,Dissolved
Total Nitrogen_mixed forms,1080,Dissolved
Total Particulate Carbon,790,Suspended
Total Particulate Nitrogen,,Non-Filterable (Particle)
Total Particulate Phosphorus,26,Non-Filterable (Particle)
Total Phosphorus_mixed forms,110,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,23,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,23.4,Dissolved
Chloride,6.93,"Filtered, field"
Chlorophyll a,3.67,Total
Chlorophyll a,3,
Conductivity,242,Total
Inorganic carbon,1854,Dissolved
Iron,0,Dissolved
Magnesium,9.5,Dissolved
Manganese,0,Dissolved
Nitrate,120,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,808,Dissolved
pH,8.34,
Potassium,2.38,Dissolved
Silica_reactive,2.09,Total
Sodium,8.65,"Filtered, field"
Soluble Reactive Phosphorus (SRP),45,"Filtered, field"
Sulfate,21.67,Dissolved
Total Nitrogen_mixed forms,510,Dissolved
Total Particulate Carbon,860,Suspended
Total Particulate Nitrogen,,Non-Filterable (Particle)
Total Particulate Phosphorus,28,Non-Filterable (Particle)
Total Phosphorus_mixed forms,51,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,26,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Ammonia,30,"Filtered, field"
Calcium,0,Dissolved
Calcium,0,Dissolved
Chloride,6.78,"Filtered, field"
Chloride,5.57,"Filtered, field"
Chlorophyll a,0.58,Total
Chlorophyll a,1.73,Total
Chlorophyll a,0,
Chlorophyll a,0,
Conductivity,287,Total
Conductivity,245,Total
Inorganic carbon,1890,Dissolved
Inorganic carbon,1680,Dissolved
Iron,0,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Manganese,0,Dissolved
Nitrate,270,"Filtered, field"
Nitrate,230,"Filtered, field"
Nitrite,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,800,Dissolved
Organic carbon,760,Dissolved
pH,8.32,
pH,8.39,
Potassium,0,Dissolved
Potassium,0,Dissolved
Silica_reactive,3.96,Total
Silica_reactive,3.24,Total
Sodium,0,"Filtered, field"
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),82,"Filtered, field"
Soluble Reactive Phosphorus (SRP),59,"Filtered, field"
Sulfate,30.84,Dissolved
Sulfate,24.57,Dissolved
Total Nitrogen_mixed forms,690,Dissolved
Total Nitrogen_mixed forms,655,Dissolved
Total Particulate Carbon,680,Suspended
Total Particulate Carbon,540,Suspended
Total Particulate Nitrogen,63,Non-Filterable (Particle)
Total Particulate Nitrogen,47,Non-Filterable (Particle)
Total Particulate Phosphorus,19,Non-Filterable (Particle)
Total Particulate Phosphorus,9,Non-Filterable (Particle)
Total Phosphorus_mixed forms,76,Dissolved
Total Phosphorus_mixed forms,60,Dissolved
Total suspended solids,13,Non-Filterable (Particle)
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,7,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Ammonia,25,"Filtered, field"
Calcium,0,Dissolved
Calcium,0,Dissolved
Chloride,29.97,"Filtered, field"
Chloride,14.19,"Filtered, field"
Chlorophyll a,0.34,Total
Chlorophyll a,0.43,Total
Chlorophyll a,0,
Chlorophyll a,0,
Conductivity,366,Total
Conductivity,294,Total
Inorganic carbon,1990,Dissolved
Inorganic carbon,1820,Dissolved
Iron,0,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Manganese,0,Dissolved
Nitrate,169,"Filtered, field"
Nitrate,124,"Filtered, field"
Nitrite,1,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,670,Dissolved
Organic carbon,690,Dissolved
pH,8.33,
pH,8.45,
Potassium,0,Dissolved
Potassium,0,Dissolved
Silica_reactive,1.61,Total
Silica_reactive,1.42,Total
Sodium,0,"Filtered, field"
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),21,"Filtered, field"
Soluble Reactive Phosphorus (SRP),30,"Filtered, field"
Sulfate,30.2,Dissolved
Sulfate,27.33,Dissolved
Total Nitrogen_mixed forms,535,Dissolved
Total Nitrogen_mixed forms,495,Dissolved
Total Particulate Carbon,380,Suspended
Total Particulate Carbon,460,Suspended
Total Particulate Nitrogen,26,Non-Filterable (Particle)
Total Particulate Nitrogen,42,Non-Filterable (Particle)
Total Particulate Phosphorus,8,Non-Filterable (Particle)
Total Particulate Phosphorus,6,Non-Filterable (Particle)
Total Phosphorus_mixed forms,24,Dissolved
Total Phosphorus_mixed forms,32,Dissolved
Total suspended solids,6,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,1,Non-Filterable (Particle)
Total suspended solids,5,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Alkalinity_total,0,Dissolved
Ammonia,30,"Filtered, field"
Ammonia,25,"Filtered, field"
Calcium,0,Dissolved
Calcium,0,Dissolved
Chloride,79.34,"Filtered, field"
Chloride,46.3,"Filtered, field"
Chlorophyll a,0.86,Total
Chlorophyll a,2.11,Total
Chlorophyll a,0,
Chlorophyll a,0,
Conductivity,611,Total
Conductivity,461,Total
Inorganic carbon,2480,Dissolved
Inorganic carbon,2260,Dissolved
Iron,0,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Manganese,0,Dissolved
Nitrate,66,"Filtered, field"
Nitrate,57,"Filtered, field"
Nitrite,1,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,740,Dissolved
Organic carbon,800,Dissolved
pH,8.47,
pH,8.47,
Potassium,0,Dissolved
Potassium,0,Dissolved
Silica_reactive,0.826,Total
Silica_reactive,0.722,Total
Sodium,0,"Filtered, field"
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),12,"Filtered, field"
Sulfate,44.21,Dissolved
Sulfate,38.55,Dissolved
Total Nitrogen_mixed forms,505,Dissolved
Total Nitrogen_mixed forms,505,Dissolved
Total Particulate Carbon,720,Suspended
Total Particulate Carbon,700,Suspended
Total Particulate Nitrogen,49,Non-Filterable (Particle)
Total Particulate Nitrogen,72,Non-Filterable (Particle)
Total Particulate Phosphorus,7,Non-Filterable (Particle)
Total Particulate Phosphorus,10,Non-Filterable (Particle)
Total Phosphorus_mixed forms,12,Dissolved
Total Phosphorus_mixed forms,17,Dissolved
Total suspended solids,7,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,1,Non-Filterable (Particle)
Total suspended solids,25,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Alkalinity_total,0,Dissolved
Ammonia,30,"Filtered, field"
Ammonia,30,"Filtered, field"
Calcium,0,Dissolved
Calcium,0,Dissolved
Chloride,28.32,"Filtered, field"
Chloride,27.31,"Filtered, field"
Chlorophyll a,0.43,Total
Chlorophyll a,1.72,Total
Chlorophyll a,0,
Chlorophyll a,0,
Conductivity,383,Total
Conductivity,376,Total
Inorganic carbon,2130,Dissolved
Inorganic carbon,2100,Dissolved
Iron,0,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Manganese,0,Dissolved
Nitrate,43,"Filtered, field"
Nitrate,14,"Filtered, field"
Nitrite,1,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,650,Dissolved
Organic carbon,670,Dissolved
pH,8.48,
pH,8.45,
Potassium,0,Dissolved
Potassium,0,Dissolved
Silica_reactive,0.538,Total
Silica_reactive,0.28,Total
Sodium,0,"Filtered, field"
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),6,"Filtered, field"
Sulfate,34.37,Dissolved
Sulfate,33.75,Dissolved
Total Nitrogen_mixed forms,425,Dissolved
Total Nitrogen_mixed forms,420,Dissolved
Total Particulate Carbon,370,Suspended
Total Particulate Carbon,410,Suspended
Total Particulate Nitrogen,29,Non-Filterable (Particle)
Total Particulate Nitrogen,76,Non-Filterable (Particle)
Total Particulate Phosphorus,4,Non-Filterable (Particle)
Total Particulate Phosphorus,4,Non-Filterable (Particle)
Total Phosphorus_mixed forms,12,Dissolved
Total Phosphorus_mixed forms,12,Dissolved
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Alkalinity_total,0,Dissolved
Ammonia,30,"Filtered, field"
Ammonia,25,"Filtered, field"
Calcium,0,Dissolved
Calcium,0,Dissolved
Chloride,23.1,"Filtered, field"
Chloride,23.55,"Filtered, field"
Chlorophyll a,0.66,Total
Chlorophyll a,3.64,Total
Chlorophyll a,0,
Chlorophyll a,0,
Conductivity,386,Total
Conductivity,390,Total
Inorganic carbon,2380,Dissolved
Inorganic carbon,2340,Dissolved
Iron,0,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Manganese,0,Dissolved
Nitrate,87,"Filtered, field"
Nitrate,11,"Filtered, field"
Nitrite,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,570,Dissolved
Organic carbon,610,Dissolved
pH,8.43,
pH,8.46,
Potassium,0,Dissolved
Potassium,0,Dissolved
Silica_reactive,1.9,Total
Silica_reactive,0.109,Total
Sodium,0,"Filtered, field"
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),10,"Filtered, field"
Soluble Reactive Phosphorus (SRP),5,"Filtered, field"
Sulfate,34.01,Dissolved
Sulfate,37.44,Dissolved
Total Nitrogen_mixed forms,410,Dissolved
Total Nitrogen_mixed forms,370,Dissolved
Total Particulate Carbon,690,Suspended
Total Particulate Carbon,470,Suspended
Total Particulate Nitrogen,52,Non-Filterable (Particle)
Total Particulate Nitrogen,67,Non-Filterable (Particle)
Total Particulate Phosphorus,7,Non-Filterable (Particle)
Total Particulate Phosphorus,7,Non-Filterable (Particle)
Total Phosphorus_mixed forms,13,Dissolved
Total Phosphorus_mixed forms,9,Dissolved
Total suspended solids,6,Non-Filterable (Particle)
Total suspended solids,1,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Alkalinity_total,0,Dissolved
Ammonia,75,"Filtered, field"
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Calcium,0,Dissolved
Chloride,19.09,"Filtered, field"
Chloride,21.13,"Filtered, field"
Chlorophyll a,0.75,Total
Chlorophyll a,1,Total
Chlorophyll a,0,
Chlorophyll a,0,
Conductivity,324,Total
Conductivity,343,Total
Inorganic carbon,1940,Dissolved
Inorganic carbon,1990,Dissolved
Iron,0,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Manganese,0,Dissolved
Nitrate,125,"Filtered, field"
Nitrate,32,"Filtered, field"
Nitrite,2,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,570,Dissolved
Organic carbon,690,Dissolved
pH,8.39,
pH,8.42,
Potassium,0,Dissolved
Potassium,0,Dissolved
Silica_reactive,1.7,Total
Silica_reactive,0.53,Total
Sodium,0,"Filtered, field"
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),22,"Filtered, field"
Soluble Reactive Phosphorus (SRP),11,"Filtered, field"
Sulfate,26.47,Dissolved
Sulfate,31.12,Dissolved
Total Nitrogen_mixed forms,505,Dissolved
Total Nitrogen_mixed forms,435,Dissolved
Total Particulate Carbon,550,Suspended
Total Particulate Carbon,310,Suspended
Total Particulate Nitrogen,47,Non-Filterable (Particle)
Total Particulate Nitrogen,28,Non-Filterable (Particle)
Total Particulate Phosphorus,40,Non-Filterable (Particle)
Total Particulate Phosphorus,4,Non-Filterable (Particle)
Total Phosphorus_mixed forms,25,Dissolved
Total Phosphorus_mixed forms,15,Dissolved
Total suspended solids,5,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,4,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Calcium,0,Dissolved
Chloride,10.38,"Filtered, field"
Chloride,11.4,"Filtered, field"
Chlorophyll a,0.74,Total
Chlorophyll a,0.67,Total
Chlorophyll a,0,
Chlorophyll a,0,
Conductivity,279,Total
Conductivity,274,Total
Inorganic carbon,1750,Dissolved
Inorganic carbon,1740,Dissolved
Iron,0,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Manganese,0,Dissolved
Nitrate,163,"Filtered, field"
Nitrate,105,"Filtered, field"
Nitrite,2,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,710,Dissolved
Organic carbon,770,Dissolved
pH,8.36,
pH,8.35,
Potassium,0,Dissolved
Potassium,0,Dissolved
Silica_reactive,1.9,Total
Silica_reactive,1.18,Total
Sodium,0,"Filtered, field"
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),35,"Filtered, field"
Soluble Reactive Phosphorus (SRP),24,"Filtered, field"
Sulfate,27.69,Dissolved
Sulfate,25.04,Dissolved
Total Nitrogen_mixed forms,545,Dissolved
Total Nitrogen_mixed forms,500,Dissolved
Total Particulate Carbon,410,Suspended
Total Particulate Carbon,320,Suspended
Total Particulate Nitrogen,39,Non-Filterable (Particle)
Total Particulate Nitrogen,27,Non-Filterable (Particle)
Total Particulate Phosphorus,9,Non-Filterable (Particle)
Total Particulate Phosphorus,7,Non-Filterable (Particle)
Total Phosphorus_mixed forms,38,Dissolved
Total Phosphorus_mixed forms,28,Dissolved
Total suspended solids,2,Non-Filterable (Particle)
Total suspended solids,6,Non-Filterable (Particle)
Total suspended solids,4,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,6.82,Total
Chlorophyll a,0,
Conductivity,230,Total
Inorganic carbon,1700,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,780,Dissolved
pH,8.29,
Potassium,0,Dissolved
Silica_reactive,1.14,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),16,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,430,Dissolved
Total Particulate Carbon,790,Suspended
Total Particulate Nitrogen,116,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,25,Dissolved
Total suspended solids,8,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,10.06,Total
Chlorophyll a,0,
Conductivity,234,Total
Inorganic carbon,1630,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,29,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,770,Dissolved
pH,8.29,
Potassium,0,Dissolved
Silica_reactive,2.21,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),32,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,385,Dissolved
Total Particulate Carbon,1110,Suspended
Total Particulate Nitrogen,169,Non-Filterable (Particle)
Total Particulate Phosphorus,34,Non-Filterable (Particle)
Total Phosphorus_mixed forms,37,Dissolved
Total suspended solids,16,Non-Filterable (Particle)
Total suspended solids,10,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,5.03,Total
Chlorophyll a,0,
Conductivity,205,Total
Inorganic carbon,1450,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,3,"Filtered, field"
