DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Manganese,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Manganese by Atomic Absorption,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Nitrate,as NO3,"Filtered, field",430,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Nitrite,as NO2,"Filtered, field",20,ug/L,,,0.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Organic carbon,,Dissolved,930,umol/L,,,13,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Organic Carbon,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,pH,,,8.52,None,,,0.004,None,Method Detection Level,Final,,,,FWI-DFO Hydrogen Ion Concentration - pH,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Potassium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Potassium by Atomic Absorption,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,"Silica, reactive",as SiO2,Total,3.18,ug/L,,,0.002,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Silicon,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Sodium,as Na,"Filtered, field",0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Sodium by Atomic Absorption,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Soluble Reactive Phosphorus (SRP),,"Filtered, field",74,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Phosphorous,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Sulfate,as SO4,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO sulfate,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,"Total Nitrogen, mixed forms",,Dissolved,1400,ug/L,,,5,ug/L,Method Detection Level,Final,,,,FWI-DFO Total Dissolved Nitrogen,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Total Particulate Carbon,,Suspended,3470,ug/L,,,7,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Total Particulate Nitrogen,,Non-Filterable (Particle),396,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Total Particulate Phosphorus,,Non-Filterable (Particle),96,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Phosphorus,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,"Total Phosphorus, mixed forms",,Dissolved,77,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Total Dissolved Phosphorus,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Total suspended solids,,Non-Filterable (Particle),70,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Particulate Solids,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Total suspended solids,,Non-Filterable (Particle),58,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI_CCGS_Namao-DFO Total Suspended Solids/Loss of Ignition/Trypton,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,"Alkalinity, total",,Dissolved,0,ueq/L,,,3.4,ueq/L,Method Detection Level,Final,,,,,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Ammonia,as NH4,"Filtered, field",10,ug/L,,,2.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Ammonia-Nitrogen,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Calcium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Calcium by Atomic Absorption,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Chloride,as Cl,"Filtered, field",0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Chloride,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Chlorophyll a,,Total,24.15,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Gross Fluorescence,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Chlorophyll a,,,0,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Liquid Chromatography,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Conductivity,,Total,298,uS/cm,,,0.5,uS/cm,Method Detection Level,Final,,,,FWI-DFO Specific Contuctance,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Inorganic carbon,,Dissolved,1870,umol/L,,,10,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Inorganic Carbon,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Iron,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Iron by Atomic Absorption,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Magnesium,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Magnesium by Atomic Absorption,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Manganese,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Manganese by Atomic Absorption,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Nitrate,as NO3,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Nitrite,as NO2,"Filtered, field",1,ug/L,,,0.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Organic carbon,,Dissolved,780,umol/L,,,13,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Organic Carbon,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,pH,,,8.34,None,,,0.004,None,Method Detection Level,Final,,,,FWI-DFO Hydrogen Ion Concentration - pH,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Potassium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Potassium by Atomic Absorption,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,"Silica, reactive",as SiO2,Total,1.36,ug/L,,,0.002,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Silicon,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Sodium,as Na,"Filtered, field",0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Sodium by Atomic Absorption,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Soluble Reactive Phosphorus (SRP),,"Filtered, field",18,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Phosphorous,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Sulfate,as SO4,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO sulfate,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,"Total Nitrogen, mixed forms",,Dissolved,435,ug/L,,,5,ug/L,Method Detection Level,Final,,,,FWI-DFO Total Dissolved Nitrogen,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Total Particulate Carbon,,Suspended,2430,ug/L,,,7,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Total Particulate Nitrogen,,Non-Filterable (Particle),345,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Total Particulate Phosphorus,,Non-Filterable (Particle),72,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Phosphorus,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,"Total Phosphorus, mixed forms",,Dissolved,25,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Total Dissolved Phosphorus,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Total suspended solids,,Non-Filterable (Particle),35,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI_CCGS_Namao-DFO Total Suspended Solids/Loss of Ignition/Trypton,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,2,South Basin 2,50.43230556,-96.83327778,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,13:10:00,,,,,,Total suspended solids,,Non-Filterable (Particle),43,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Particulate Solids,,,,FWI,W_278
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,"Alkalinity, total",,Dissolved,0,ueq/L,,,3.4,ueq/L,Method Detection Level,Final,,,,,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Ammonia,as NH4,"Filtered, field",20,ug/L,,,2.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Ammonia-Nitrogen,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Calcium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Calcium by Atomic Absorption,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Chloride,as Cl,"Filtered, field",0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Chloride,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Chlorophyll a,,Total,9.62,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Gross Fluorescence,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Chlorophyll a,,,0,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Liquid Chromatography,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Conductivity,,Total,304,uS/cm,,,0.5,uS/cm,Method Detection Level,Final,,,,FWI-DFO Specific Contuctance,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Inorganic carbon,,Dissolved,1910,umol/L,,,10,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Inorganic Carbon,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Iron,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Iron by Atomic Absorption,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Magnesium,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Magnesium by Atomic Absorption,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Manganese,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Manganese by Atomic Absorption,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Nitrate,as NO3,"Filtered, field",270,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Nitrite,as NO2,"Filtered, field",10,ug/L,,,0.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Organic carbon,,Dissolved,740,umol/L,,,13,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Organic Carbon,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,pH,,,8.35,None,,,0.004,None,Method Detection Level,Final,,,,FWI-DFO Hydrogen Ion Concentration - pH,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Potassium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Potassium by Atomic Absorption,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,"Silica, reactive",as SiO2,Total,2.11,ug/L,,,0.002,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Silicon,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Sodium,as Na,"Filtered, field",0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Sodium by Atomic Absorption,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Soluble Reactive Phosphorus (SRP),,"Filtered, field",41,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Phosphorous,,,,FWI,W_279
Lake Winnipeg Chemistry data from 2002 to 2004,3B,South Basin 3B,50.44263889,-96.70791667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,14:35:00,,,,,,Sulfate,as SO4,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO sulfate,,,,FWI,W_279
